city,landmark,channel_name,url,status_code,final_url,final_status,note
北京,故宫（紫禁城）,官方故宫博物院,https://gugong.228.com.cn/,timeout,,timeout,唯一官方渠道，需实名制预约
北京,长城（八达岭段）,官方 badaling.cn,https://www.badaling.cn/,302,https://www.badaling.cn/website/pc/index.html,redirect-ok,实名购票 + 七日预约窗口，法定节假日当天窗口 08:00 会瞬间抢光
北京,长城（八达岭段）,美团 / 飞猪（含直通车）,https://www.meituan.com/,200,https://www.meituan.com/,ok,一日往返直通车 ¥120 左右（含门票），比自己打车+挤地铁省 3 小时
北京,天坛,官方天坛公园 tiantanpark.com,https://www.tiantanpark.com/,timeout,,timeout,联票含祈年殿 + 圜丘 + 回音壁三大主体建筑，散票只能进外园
北京,颐和园,官方 summerpalace-china.com,https://www.summerpalace-china.com/,timeout,,timeout,全园 290 万平米，联票覆盖佛香阁 / 德和园 / 文昌院几大重点
罗马,科洛塞姆（斗兽场）,官方 CoopCulture,https://ecm.coopculture.it/,error,,error,最便宜；系统偶尔崩，提前 15 天开售
罗马,科洛塞姆（斗兽场）,Klook,https://www.klook.com/activity/1242-colosseum-tour-rome/,403,,4xx,中文界面，可退改，含中文导览
罗马,科洛塞姆（斗兽场）,Tiqets,https://www.tiqets.com/en/rome-attractions-c66352/tickets-for-colosseum/,404,,4xx,快速预约，移动票
罗马,万神殿（Pantheon）,官方 museiitaliani.it,https://www.museiitaliani.it/,200,https://www.museiitaliani.it/,ok,最官方，时段粒度 15 分钟
罗马,万神殿（Pantheon）,GetYourGuide（跳过排队 + 导览）,https://www.getyourguide.com/,403,,4xx,加约 €10 服务费，含 45 分钟语音导览，旺季推荐
罗马,梵蒂冈圣彼得大教堂,官方 ticketsbasilica.va,https://www.ticketsbasilica.va/,error,,error,唯一官方预约入口；免费预约跳过大门安检长队，旺季能省 2 小时
罗马,梵蒂冈圣彼得大教堂,Vatican Museums 联票,https://m.museivaticani.va/,302,https://m.museivaticani.va/content/museivaticani-mobile/en.html,redirect-ok,博物馆 €20 + 西斯廷礼拜堂 + 圣彼得穹顶的经典路线，6 小时一站式
罗马,古罗马广场,官方 colosseo.it,https://www.colosseo.it/,error,,error,与斗兽场共用同一张票，买斗兽场自动包含广场入口
伊斯坦布尔,圣索菲亚大教堂,官方 muze.gov.tr,https://muze.gov.tr/,200,https://muze.gov.tr/,ok,土耳其文化部统一售票平台，英文界面
伊斯坦布尔,圣索菲亚大教堂,GetYourGuide,https://www.getyourguide.com/hagia-sophia-l2728/,403,,4xx,英文可选，含语音导览
伊斯坦布尔,圣索菲亚大教堂,Tiqets,https://www.tiqets.com/en/istanbul-attractions-c66346/tickets-for-hagia-sophia/,404,,4xx,快速预约，可跳现场排队
伊斯坦布尔,蓝色清真寺,官方说明 sultanahmetcamii.org,https://www.sultanahmetcamii.org/,error,,error,不售票，但礼拜时段（每日 5 次 + 周五主麻）关闭游客入口，须按官网时刻表
伊斯坦布尔,蓝色清真寺,GetYourGuide 联游（含圣索菲亚）,https://www.getyourguide.com/,403,,4xx,€30 左右半日游含导游与两座大建筑对比讲解
伊斯坦布尔,托普卡帕宫,官方 muze.gov.tr,https://muze.gov.tr/,200,https://muze.gov.tr/,ok,土耳其文化旅游部统一售票；提前 15 天开放预约
伊斯坦布尔,托普卡帕宫,Museum Pass Istanbul,https://muze.gen.tr/,200,https://muze.gen.tr/,ok,€105 五日通票含托普卡帕 + 圣索菲亚 + 考古博物馆，逛三处以上就回本
伊斯坦布尔,大巴扎,官方 kapalicarsi.com.tr,https://www.kapalicarsi.com.tr/,301,https://kapalicarsi.com.tr/,redirect-ok,无需购票；官网提供 21 个入口地图，Nuruosmaniye 门是最老入口
京都,伏见稻荷大社,官方 inari.jp,https://inari.jp/,200,https://inari.jp/,ok,神社本体免费，无购票流程；官网是时刻表 + 御朱印说明的唯一正式来源
京都,伏见稻荷大社,JR 奈良线 · 稻荷站,https://www.jreast.co.jp/,403,,4xx,JR 京都站出发 5 分钟到稻荷站，出站即是表参道，交通上无需其他工具
京都,金阁寺（鹿苑寺）,官方 shokoku-ji.jp,https://www.shokoku-ji.jp/,200,https://www.shokoku-ji.jp/,ok,不网上售票，只能现场买；官网提供季节限流公告
京都,金阁寺（鹿苑寺）,巴士一日券 + 金阁寺,https://www2.city.kyoto.lg.jp/,301,http://www.city.kyoto.lg.jp/,redirect-ok,京都巴士一日券 ¥700 可无限次乘市巴士，去金阁寺 + 龙安寺 + 仁和寺串游一天最划算
京都,二条城,官方 nijo-jocastle.city.kyoto.lg.jp,https://nijo-jocastle.city.kyoto.lg.jp/,200,https://nijo-jocastle.city.kyoto.lg.jp/,ok,京都市直营，网上订票 + 定时段入场
京都,清水寺,官方 kiyomizudera.or.jp,https://www.kiyomizudera.or.jp/,200,https://www.kiyomizudera.or.jp/,ok,售票只有现场；官网提供夜间拝観三季的具体日期与时段
京都,清水寺,京都巴士 206 / 100 号,https://www2.city.kyoto.lg.jp/,301,http://www.city.kyoto.lg.jp/,redirect-ok,206 号从京都站北侧出发 15 分钟到五条坂站，步行 10 分钟上坡到清水寺
开罗,吉萨大金字塔群,现场售票,,,,null-url,主入口 Sphinx Gate 售票处，仅接受现金或埃及本地卡
开罗,吉萨大金字塔群,GetYourGuide,https://www.getyourguide.com/giza-l2727/,403,,4xx,含接送 + 英文导游的套餐
开罗,埃及博物馆,官方 visit-gem.com,https://visit-gem.com/,200,https://visit-gem.com/,ok,网上预约定时段 + 跳过排队；现场窗口排队 60 分钟起
开罗,埃及博物馆,Klook / Viator 中文代购,https://www.klook.com/,403,,4xx,加 ¥30-50 服务费但有中文语音导览；图坦卡蒙专展必须搭配购买
开罗,爱资哈尔清真寺,Al-Azhar 大学官方介绍页,https://www.azhar.edu.eg/,timeout,,timeout,清真寺无独立售票系统；大学官网提供礼拜时间与着装要求
开罗,萨拉丁城堡,官方门票 sca.gov.eg,https://sca.gov.eg/,error,,error,现场窗口为主；近年官网增加在线预售但依旧要打印凭证
巴黎,巴黎圣母院,官方 notredamedeparis.fr,https://www.notredamedeparis.fr/,200,https://www.notredamedeparis.fr/,ok,2024 年 12 月 7 日重开后采用预约入场（免费但必须订时段），避免无序排队
巴黎,巴黎圣母院,塔楼专用 rendezvousalatour.fr,https://www.rendezvousalatour.fr/,error,,error,塔楼是独立售票，与主殿完全分开；旺季一周内售罄
巴黎,埃菲尔铁塔,官方 toureiffel.paris,https://www.toureiffel.paris/,301,https://www.toureiffel.paris/fr,redirect-ok,预售开放 60 天窗口；官网凌晨 00:00（巴黎时间）刷新次日余票
巴黎,埃菲尔铁塔,Get Your Guide 跳队导览,https://www.getyourguide.com/,403,,4xx,加约 €15 服务费，旺季常是唯一能买到当天票的途径
巴黎,埃菲尔铁塔,阶梯入口 SW Pillar,,,,null-url,阶梯票不能网上买，只能现场 West/South 柱下窗口排队，旺季排 30-60 分钟
巴黎,卢浮宫,官方 ticketlouvre.fr,https://www.ticketlouvre.fr/,301,https://ticket.louvre.fr/,4xx,必须网上预订 + 选 30 分钟时段；自 2022 起现场不再售票
巴黎,卢浮宫,Paris Museum Pass,https://www.parismuseumpass.fr/,403,,4xx,€70 两日票 / €85 四日票含卢浮宫 + 凡尔赛 + 奥赛，看 3 个以上博物馆就回本
巴黎,凡尔赛宫,官方 en.chateauversailles.fr,https://en.chateauversailles.fr/,200,https://en.chateauversailles.fr/,ok,必须网上订时段；Passport 通票是半日以上最省选择
